Id,InputUnit,InputUnitName,CubicYardsOutput,CubicMetersOutput,MetricTonsOutput,StaticDataVersionId
4,6,cubic yards,1,0.764555,1*density,1
3,5,tonnes,1.10231/density,(1.10231/density)*0.764555,1.10231,1
2,4,tons,1/density,(1/density)*0.764555,1,1
1,2,cubic meters,1.30795,1,1.30795*density,1
4,6,cubic yards,1,0.764555,1*density,2
3,5,tonnes,1.10231/density,(1.10231/density)*0.764555,1.10231,2
2,4,tons,1/density,(1/density)*0.764555,1,2
1,2,cubic meters,1.30795,1,1.30795*density,2
4,6,cubic yards,1,0.764555,1*density,3
3,5,tonnes,1.10231/density,(1.10231/density)*0.764555,1.10231,3
2,4,tons,1/density,(1/density)*0.764555,1,3
1,2,cubic meters,1.30795,1,1.30795*density,3
4,6,cubic yards,1,0.764555,1*density,4
3,5,tonnes,1.10231/density,(1.10231/density)*0.764555,1.10231,4
2,4,tons,1/density,(1/density)*0.764555,1,4
1,2,cubic meters,1.30795,1,1.30795*density,4
4,6,cubic yards,1,0.764555,1*density,5
3,5,tonnes,1.10231/density,(1.10231/density)*0.764555,1.10231,5
2,4,tons,1/density,(1/density)*0.764555,1,5
1,2,cubic meters,1.30795,1,1.30795*density,5
4,6,cubic yards,1,0.764555,1*density,6
3,5,tonnes,1.10231/density,(1.10231/density)*0.764555,1.10231,6
2,4,tons,1/density,(1/density)*0.764555,1,6
1,2,cubic meters,1.30795,1,1.30795*density,6
4,6,cubic yards,1,0.764555,1*density,7
3,5,tonnes,1.10231/density,(1.10231/density)*0.764555,1.10231,7
2,4,tons,1/density,(1/density)*0.764555,1,7
1,2,cubic meters,1.30795,1,1.30795*density,7
4,6,cubic yards,1,0.764555,1*density,8
3,5,tonnes,1.10231/density,(1.10231/density)*0.764555,1.10231,8
2,4,tons,1/density,(1/density)*0.764555,1,8
1,2,cubic meters,1.30795,1,1.30795*density,8
4,6,cubic yards,1,0.764555,1*density,9
3,5,tonnes,1.10231/density,(1.10231/density)*0.764555,1.10231,9
2,4,tons,1/density,(1/density)*0.764555,1,9
1,2,cubic meters,1.30795,1,1.30795*density,9
4,6,cubic yards,1,0.764555,1*density,10
3,5,tonnes,1.10231/density,(1.10231/density)*0.764555,1.10231,10
2,4,tons,1/density,(1/density)*0.764555,1,10
1,2,cubic meters,1.30795,1,1.30795*density,10
1,2,cubic meters,1.30795,1,1.30795*density,12
2,4,tons,1/density,(1/density)*0.764555,1,12
3,5,tonnes,1.10231/density,(1.10231/density)*0.764555,1.10231,12
4,6,cubic yards,1,0.764555,1*density,12
1,2,cubic meters,1.30795,1,1.30795*density,13
2,4,tons,1/density,(1/density)*0.764555,1,13
3,5,tonnes,1.10231/density,(1.10231/density)*0.764555,1.10231,13
4,6,cubic yards,1,0.764555,1*density,13
1,2,cubic meters,1.30795,1,1.30795*density,14
2,4,tons,1/density,(1/density)*0.764555,1,14
3,5,tonnes,1.10231/density,(1.10231/density)*0.764555,1.10231,14
4,6,cubic yards,1,0.764555,1*density,14
