Id,BreedName,AnimalId,BreedManureFactor,StaticDataVersionId
1,Holstein,2,1,1
2,Guernsey,2,0.68,1
3,Brown Swiss,2,0.765,1
1,Holstein,2,1,2
2,Guernsey,2,0.68,2
3,Brown Swiss,2,0.765,2
1,Holstein,2,1,3
2,Guernsey,2,0.68,3
3,Brown Swiss,2,0.765,3
1,Holstein,2,1,4
2,Guernsey,2,0.68,4
3,Brown Swiss,2,0.765,4
1,Holstein,2,1,5
3,Brown Swiss,2,0.765,5
4,Ayrshire,2,0.791,5
5,Jersey,2,0.68,5
2,Guernsey,2,0.717,5
4,Ayrshire,2,0.791,6
5,Jersey,2,0.68,6
2,Guernsey,2,0.717,6
1,Holstein,2,1,6
3,Brown Swiss,2,0.765,6
1,Holstein,2,1,7
2,Guernsey,2,0.68,7
3,Brown Swiss,2,0.765,7
3,Brown Swiss,2,0.765,8
1,Holstein,2,1,8
2,Guernsey,2,0.68,8
2,Guernsey,2,0.68,9
1,Holstein,2,1,9
3,Brown Swiss,2,0.765,9
2,Guernsey,2,0.68,10
3,Brown Swiss,2,0.765,10
1,Holstein,2,1,10
1,Holstein,2,1,12
2,Guernsey,2,0.68,12
3,Brown Swiss,2,0.765,12
1,Holstein,2,1,13
2,Guernsey,2,0.68,13
3,Brown Swiss,2,0.765,13
1,Holstein,2,1,14
2,Guernsey,2,0.68,14
3,Brown Swiss,2,0.765,14
