Id,Name,ManureClass,SolidLiquid,Moisture,Nitrogen,Ammonia,Phosphorous,Potassium,DryMatterId,NMineralizationId,SortNum,CubicYardConversion,Nitrate,StaticDataVersionId,DefaultSolidMoisture
5,Chicken-broiler (general),Chickens,Solid,50%,2.26,3423,0.91,1.14,5,5,100,0.45,0,1,
6,Chicken-broiler (manure fresh from barn),Chickens,Solid,25%,2.97,4078,1.05,1.04,5,5,100,0.4,0,1,
1,"Beef-feedlot, solid (dry)",Beef - feedlot,Solid,≤72%,0.42,44,0.13,0.67,4,11,100,0.51,0,1,
2,"Beef-feedlot, solid (moist)",Beef - feedlot,Solid,72-82%,0.68,368,0.15,0.3,4,11,100,0.7,0,1,
3,"Beef, liquid",Beef - feedlot,Liquid,82-90%,0.28,77,0.09,0.19,4,2,100,0,0,1,
28,"(Other, liquid)",Other,Liquid,Liquid,0,0,0,0,2,2,10,0,0,1,
27,"(Other, solid)",Other,Solid,Solid,0,0,0,0,4,11,10,0.5,0,1,
4,Compost,Compost,Solid,50%,0,0,0,0,6,10,50,0.5,0,1,
25,"Turkey (manure aged, ≥7 weeks out of barn)",Turkeys,Solid,70%,0.87,1281,0.44,0.59,5,5,200,0.33,0,1,
7,Chicken-broiler (manure aged outdoors),Chickens,Solid,70%,1.91,3095,0.8,1.14,5,5,100,0.5,0,1,
8,Chicken-broiler breeder,Chickens,Solid,46%,1.25,3096,0.84,1.71,5,5,100,0.4,0,1,
10,Chicken-layer,Chickens,Solid,50%,2.26,3889,1.13,1.51,5,5,100,0.4,0,1,
11,"Dairy, solid (dry)",Dairy,Solid,≤72%,0.76,317,0.2,0.43,4,11,100,0.59,0,1,
12,"Dairy, solid (moist)",Dairy,Solid,72-82%,0.39,797,0.1,0.3,4,11,100,0.7,0,1,
14,"Dairy, liquid (thick slurry)",Dairy,Liquid,80-92%,0.4,1760,0.08,0.3,4,2,110,0,0,1,
15,"Dairy, liquid (medium slurry)",Dairy,Liquid,92-95%,0.28,1450,0.06,0.25,3,2,111,0,0,1,
16,"Dairy, liquid (quite watery)",Dairy,Liquid,95-98%,0.2,1110,0.04,0.16,2,2,112,0,0,1,
17,"Dairy, liquid (very watery)",Dairy,Liquid,98-99%,0.13,730,0.02,0.12,2,2,113,0,0,1,
18,"Biosolids, anaerobically digested & dewatered",Biosolids,Solid,70%,1.47,2940,0.9,0.03,4,4,300,0.7,0,1,
19,Goat (dairy),Goats (dairy),Solid,65%,1.04,2818,0.28,1.03,4,11,200,0.7,0,1,
26,"Turkey (manure fresh from barn, <7 weeks)",Turkeys,Solid,33%,1.79,2518,0.79,1.31,5,5,200,0.33,0,1,
20,"Hog, liquid",Hog,Liquid,≥82%,0.33,2211,0.1,0.15,4,2,200,0,0,1,
22,Horse,Horses,Solid,<82%,0.32,268,0.09,0.25,4,9,200,0.7,0,1,
23,Mink,Mink,Solid,54%,3.28,14151,1.82,0.79,4,6,200,0.5,0,1,
24,Sheep,Sheep,Solid,68%,0.87,2784,0.34,0.76,4,11,200,0.7,0,1,
21,"Hog, solid",Hog,Solid,<82%,0.86,525,0.42,0.5,2,7,200,0.7,0,1,
1,"Beef-feedlot, solid (dry)",Beef - feedlot,Solid,≤72%,0.42,44,0.13,0.67,4,11,100,0.51,0,2,
2,"Beef-feedlot, solid (moist)",Beef - feedlot,Solid,72-82%,0.68,368,0.15,0.3,4,11,100,0.7,0,2,
3,"Beef, liquid",Beef - feedlot,Liquid,82-90%,0.28,77,0.09,0.19,4,2,100,0,0,2,
27,"(Other, solid)",Other,Solid,Solid,0,0,0,0,4,11,10,0.5,0,2,
11,"Dairy, solid (dry)",Dairy,Solid,≤72%,0.76,317,0.2,0.43,4,11,100,0.59,0,2,
12,"Dairy, solid (moist)",Dairy,Solid,72-82%,0.39,797,0.1,0.3,4,11,100,0.7,0,2,
14,"Dairy, liquid (thick slurry)",Dairy,Liquid,80-92%,0.4,1760,0.08,0.3,4,2,110,0,0,2,
18,"Biosolids, anaerobically digested & dewatered",Biosolids,Solid,70%,1.47,2940,0.9,0.03,4,4,300,0.7,0,2,
19,Goat (dairy),Goats (dairy),Solid,65%,1.04,2818,0.28,1.03,4,11,200,0.7,0,2,
20,"Hog, liquid",Hog,Liquid,≥82%,0.33,2211,0.1,0.15,4,2,200,0,0,2,
22,Horse,Horses,Solid,<82%,0.32,268,0.09,0.25,4,9,200,0.7,0,2,
23,Mink,Mink,Solid,54%,3.28,14151,1.82,0.79,4,6,200,0.5,0,2,
4,Compost,Compost,Solid,50%,0,0,0,0,6,10,50,0.5,0,2,
5,Chicken-broiler (general),Chickens,Solid,50%,2.26,3423,0.91,1.14,5,5,100,0.45,0,2,
15,"Dairy, liquid (medium slurry)",Dairy,Liquid,92-95%,0.28,1450,0.06,0.25,3,2,111,0,0,2,
6,Chicken-broiler (manure fresh from barn),Chickens,Solid,25%,2.97,4078,1.05,1.04,5,5,100,0.4,0,2,
25,"Turkey (manure aged, ≥7 weeks out of barn)",Turkeys,Solid,70%,0.87,1281,0.44,0.59,5,5,200,0.33,0,2,
7,Chicken-broiler (manure aged outdoors),Chickens,Solid,70%,1.91,3095,0.8,1.14,5,5,100,0.5,0,2,
8,Chicken-broiler breeder,Chickens,Solid,46%,1.25,3096,0.84,1.71,5,5,100,0.4,0,2,
10,Chicken-layer,Chickens,Solid,50%,2.26,3889,1.13,1.51,5,5,100,0.4,0,2,
26,"Turkey (manure fresh from barn, <7 weeks)",Turkeys,Solid,33%,1.79,2518,0.79,1.31,5,5,200,0.33,0,2,
28,"(Other, liquid)",Other,Liquid,Liquid,0,0,0,0,2,2,10,0,0,2,
16,"Dairy, liquid (quite watery)",Dairy,Liquid,95-98%,0.2,1110,0.04,0.16,2,2,112,0,0,2,
17,"Dairy, liquid (very watery)",Dairy,Liquid,98-99%,0.13,730,0.02,0.12,2,2,113,0,0,2,
21,"Hog, solid",Hog,Solid,<82%,0.86,525,0.42,0.5,2,7,200,0.7,0,2,
24,Sheep,Sheep,Solid,68%,0.87,2784,0.34,0.76,4,11,200,0.7,0,2,
1,"Beef-feedlot, solid (dry)",Beef - feedlot,Solid,≤72%,0.42,44,0.13,0.67,4,11,100,0.51,0,3,
2,"Beef-feedlot, solid (moist)",Beef - feedlot,Solid,72-82%,0.68,368,0.15,0.3,4,11,100,0.7,0,3,
3,"Beef, liquid",Beef - feedlot,Liquid,82-90%,0.28,77,0.09,0.19,4,2,100,0,0,3,
27,"(Other, solid)",Other,Solid,Solid,0,0,0,0,4,11,10,0.5,0,3,
11,"Dairy, solid (dry)",Dairy,Solid,≤72%,0.76,317,0.2,0.43,4,11,100,0.59,0,3,
12,"Dairy, solid (moist)",Dairy,Solid,72-82%,0.39,797,0.1,0.3,4,11,100,0.7,0,3,
14,"Dairy, liquid (thick slurry)",Dairy,Liquid,80-92%,0.4,1760,0.08,0.3,4,2,110,0,0,3,
18,"Biosolids, anaerobically digested & dewatered",Biosolids,Solid,70%,1.47,2940,0.9,0.03,4,4,300,0.7,0,3,
19,Goat (dairy),Goats (dairy),Solid,65%,1.04,2818,0.28,1.03,4,11,200,0.7,0,3,
20,"Hog, liquid",Hog,Liquid,≥82%,0.33,2211,0.1,0.15,4,2,200,0,0,3,
22,Horse,Horses,Solid,<82%,0.32,268,0.09,0.25,4,9,200,0.7,0,3,
23,Mink,Mink,Solid,54%,3.28,14151,1.82,0.79,4,6,200,0.5,0,3,
4,Compost,Compost,Solid,50%,0,0,0,0,6,10,50,0.5,0,3,
5,Chicken-broiler (general),Chickens,Solid,50%,2.26,3423,0.91,1.14,5,5,100,0.45,0,3,
15,"Dairy, liquid (medium slurry)",Dairy,Liquid,92-95%,0.28,1450,0.06,0.25,3,2,111,0,0,3,
6,Chicken-broiler (manure fresh from barn),Chickens,Solid,25%,2.97,4078,1.05,1.04,5,5,100,0.4,0,3,
25,"Turkey (manure aged, ≥7 weeks out of barn)",Turkeys,Solid,70%,0.87,1281,0.44,0.59,5,5,200,0.33,0,3,
7,Chicken-broiler (manure aged outdoors),Chickens,Solid,70%,1.91,3095,0.8,1.14,5,5,100,0.5,0,3,
8,Chicken-broiler breeder,Chickens,Solid,46%,1.25,3096,0.84,1.71,5,5,100,0.4,0,3,
10,Chicken-layer,Chickens,Solid,50%,2.26,3889,1.13,1.51,5,5,100,0.4,0,3,
26,"Turkey (manure fresh from barn, <7 weeks)",Turkeys,Solid,33%,1.79,2518,0.79,1.31,5,5,200,0.33,0,3,
