Id,InputUnit,InputUnitName,USGallonsOutput,StaticDataVersionId
3,3,US gallons,1,1
2,2,cubic meters,264.172,1
1,1,Imp. gallons,1.20095,1
3,3,US gallons,1,2
2,2,cubic meters,264.172,2
1,1,Imp. gallons,1.20095,2
3,3,US gallons,1,3
2,2,cubic meters,264.172,3
1,1,Imp. gallons,1.20095,3
3,3,US gallons,1,4
2,2,cubic meters,264.172,4
1,1,Imp. gallons,1.20095,4
3,3,US gallons,1,5
2,2,cubic meters,264.172,5
1,1,Imp. gallons,1.20095,5
3,3,US gallons,1,6
2,2,cubic meters,264.172,6
1,1,Imp. gallons,1.20095,6
3,3,US gallons,1,7
2,2,cubic meters,264.172,7
1,1,Imp. gallons,1.20095,7
3,3,US gallons,1,8
2,2,cubic meters,264.172,8
1,1,Imp. gallons,1.20095,8
3,3,US gallons,1,9
2,2,cubic meters,264.172,9
1,1,Imp. gallons,1.20095,9
3,3,US gallons,1,10
2,2,cubic meters,264.172,10
1,1,Imp. gallons,1.20095,10
1,1,Imp. gallons,1.20095,12
2,2,cubic meters,264.172,12
3,3,US gallons,1,12
1,1,Imp. gallons,1.20095,13
2,2,cubic meters,264.172,13
3,3,US gallons,1,13
1,1,Imp. gallons,1.20095,14
2,2,cubic meters,264.172,14
3,3,US gallons,1,14
