"id","cropname","croptypeid","yieldcd","cropremovalfactornitrogen","cropremovalfactorp2o5","cropremovalfactork2o","nitrogenrecommendationid","nitrogenrecommendationpoundperacre","nitrogenrecommendationupperlimitpoundperacre","previouscropcode","sortnumber","manureapplicationhistory","harvestbushelsperton"
1,Alfalfa or legume dominant stand (1 cut),1,2.0,64.0,18.32,50.4,1,0.0,,2,100,0,
2,Alfalfa or legume dominant stand (2 cuts),1,2.0,64.0,18.32,50.4,1,0.0,,2,100,1,
3,Alfalfa or legume dominant stand (3 cuts),1,2.0,64.0,18.32,50.4,1,0.0,,2,100,2,
4,Corn silage,1,2.0,25.0,9.16,24.0,3,,,1,100,1,
5,Grass or mixed stand (1-2 cuts),1,2.0,32.0,13.74,45.6,3,,,2,100,0,
6,Grass or mixed stand (2-3 cuts),1,2.0,38.0,13.74,45.6,3,,,2,100,2,
7,Grass or mixed stand (4-5 cuts),1,2.0,48.0,16.03,45.6,3,,,2,100,1,
8,Grass or mixed stand (5-6 cuts),1,2.0,58.0,18.32,48.0,3,,,2,100,2,
9,Grass or mixed stand (7 cuts),1,2.0,64.0,18.32,48.0,3,,,2,100,2,
10,Austrian winter pea,2,2.0,60.0,20.0,60.0,1,0.0,0.0,2,100,2,
11,Crimson clover,2,2.0,54.8,12.6,74.4,1,0.0,0.0,2,100,2,
12,Hairy vetch,2,2.0,61.0,18.0,60.0,1,0.0,0.0,2,100,2,
13,Red clover,2,2.0,58.0,18.0,60.0,1,0.0,0.0,2,100,2,
14,Annual ryegrass,2,2.0,35.0,13.7,45.8,3,0.0,0.0,2,100,0,
15,"Cereal (barley, oats, wheat, etc.)",2,2.0,44.0,16.0,40.0,3,0.0,0.0,2,100,2,
16,Fall rye,2,2.0,56.8,17.2,74.8,3,0.0,0.0,2,100,2,
22,Spring wheat (straw removed),4,1.0,70.59,26.732,60.566,3,,,3,100,2,33.333333
23,Spring wheat,4,1.0,50.123,19.632,14.619,4,84.5,,3,100,2,33.333333
24,Barley (straw removed),4,1.0,58.009,23.256,55.657,3,,,3,100,0,41.666667
25,Barley,4,1.0,40.502,17.507,13.326,4,111.0,,3,100,2,41.666667
